Timecode,BlendshapeCount,CheekSquintRight,EyeSquintRight,MouthDimpleRight,NoseSneerRight,MouthSmileRight,JawOpen,MouthUpperUpRight,BrowDownRight,CheekSquintLeft,EyeSquintLeft,MouthDimpleLeft,NoseSneerLeft,MouthSmileLeft,MouthUpperUpLeft,BrowDownLeft
02:50:01:54.147,61,0.565004036,0.275108254,0.109698391,0.280757216,0.851609558,0.094915895,0.389439292,0.386357114,0.565004036,0.275108254,0.109698391,0.280757216,0.851609558,0.389439292,0.386357114
02:50:01:55.148,61,0.565063695,0.274667508,0.109982224,0.282145247,0.851756583,0.09522039,0.391163369,0.387546207,0.565063695,0.274667508,0.109982224,0.282145247,0.851756583,0.391163369,0.387546207
02:50:01:56.150,61,0.567410072,0.274768124,0.110640713,0.282921776,0.852468073,0.095303134,0.392016232,0.388748268,0.567410072,0.274768124,0.110640713,0.282921776,0.852468073,0.392016232,0.388748268
02:50:01:57.151,61,0.565093612,0.275688087,0.111204905,0.285121746,0.852226734,0.095413375,0.391237331,0.389356484,0.565093612,0.275688087,0.111204905,0.285121746,0.852226734,0.391237331,0.389356484
02:50:01:58.153,61,0.566893871,0.278955693,0.111716813,0.287725548,0.851764808,0.095362913,0.390896601,0.392784774,0.566893871,0.278955693,0.111716813,0.287725548,0.851764808,0.390896601,0.392784774
02:50:01:59.154,61,0.5674043,0.280308875,0.112355594,0.289258681,0.850257625,0.094034107,0.391475372,0.394372697,0.5674043,0.280308875,0.112355594,0.289258681,0.850257625,0.391475372,0.394372697
02:50:02:00.156,61,0.566172491,0.27972441,0.112498511,0.290365455,0.849074125,0.093543104,0.389848217,0.394464308,0.566172491,0.27972441,0.112498511,0.290365455,0.849074125,0.389848217,0.394464308
02:50:02:01.158,61,0.565997139,0.280823372,0.112559538,0.290596763,0.849003285,0.093660939,0.389978531,0.394398092,0.565997139,0.280823372,0.112559538,0.290596763,0.849003285,0.389978531,0.394398092
02:50:02:02.159,61,0.565665891,0.28077509,0.112780463,0.291931142,0.848334531,0.092924134,0.390167805,0.395211086,0.565665891,0.28077509,0.112780463,0.291931142,0.848334531,0.390167805,0.395211086
02:50:02:03.161,61,0.562269375,0.279804304,0.112902536,0.292732902,0.847821752,0.092298732,0.391073257,0.395227497,0.562269375,0.279804304,0.112902536,0.292732902,0.847821752,0.391073257,0.395227497
