Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:59:25:44.114,61,0.0152434623,0.2796810865,0.0612301938,0.0000000000,0.0000000000,0.0143583687,0.0000000000,0.0149290832,0.2795185149,0.0660486445,0.0000000000,0.0000000000,0.0143583566,0.0000000000,0.0076005887,0.0137242367,0.0000000000,0.0120723797,0.0132715432,0.0024251365,0.0602186173,0.0010697610,0.0000000000,0.0025692212,0.0063774539,0.0000000000,0.0000000000,0.0061916527,0.0060229911,0.0197753981,0.0193746984,0.0127290664,0.0098176086,0.0409005210,0.0273885615,0.0129000405,0.0134052513,0.0108134886,0.0099439397,0.0055283830,0.0059352089,0.0012606066,0.0010743206,0.0270710029,0.0000000000,0.0000000000,0.0076665375,0.0100624198,0.0103624817,0.0211564675,0.0218450669,0.0000000008,0.0000000000,0.0000000000,0.0000000000,-0.0397597812,0.1708845347,-0.0068593333,0.0368585959,0.1709647328,0.0063621155
02:59:25:45.115,61,0.0148570826,0.2797581851,0.0596184768,0.0000000000,0.0000000000,0.0143961525,0.0000000000,0.0145566147,0.2795742750,0.0676999912,0.0000000000,0.0000000000,0.0143961413,0.0000000000,0.0076000937,0.0138511844,0.0000000000,0.0120923687,0.0132841459,0.0024126992,0.0605927445,0.0011331051,0.0000000000,0.0019419452,0.0058762967,0.0000000000,0.0000000000,0.0061518918,0.0059810840,0.0197999086,0.0193881262,0.0126762129,0.0097987261,0.0407860130,0.0273220539,0.0128321461,0.0133387391,0.0108029172,0.0099326773,0.0055035874,0.0059076576,0.0014835447,0.0012978343,0.0270774476,0.0000000000,0.0000000000,0.0076625692,0.0100639453,0.0103710433,0.0211350471,0.0218035132,0.0000000008,0.0000000000,0.0000000000,0.0000000000,-0.0407536104,0.1709255576,-0.0070324084,0.0358881205,0.1710057557,0.0061961957
02:59:25:46.117,61,0.0144913327,0.2801086307,0.0583688393,0.0000000000,0.0000000000,0.0143715870,0.0000000000,0.0142040066,0.2799085975,0.0689195246,0.0000000000,0.0000000000,0.0143715777,0.0000000000,0.0075844768,0.0139882080,0.0000000000,0.0120585058,0.0132550970,0.0023925109,0.0605648197,0.0011731480,0.0000000000,0.0018995563,0.0060675652,0.0000000000,0.0000000000,0.0061111785,0.0059395935,0.0198017731,0.0193806477,0.0126299746,0.0097531248,0.0406593271,0.0272569936,0.0127532035,0.0132627208,0.0107916044,0.0099230232,0.0054936032,0.0058974167,0.0013444652,0.0011605308,0.0270451661,0.0000000000,0.0000000000,0.0076214965,0.0100446939,0.0103636608,0.0210983120,0.0217542313,0.0000000009,0.0000000000,0.0000000000,0.0000000000,-0.0414862558,0.1711351573,-0.0071677095,0.0351345874,0.1712153256,0.0060737352
02:59:25:47.118,61,0.0141869877,0.2805308998,0.0578909107,0.0000000000,0.0000000000,0.0142837958,0.0000000000,0.0139108840,0.2803249657,0.0693467930,0.0000000000,0.0000000000,0.0142837865,0.0000000000,0.0075408984,0.0140816970,0.0000000000,0.0119966799,0.0132180797,0.0023694905,0.0599979497,0.0011682987,0.0000000000,0.0024302755,0.0091072554,0.0000000000,0.0000000000,0.0060664592,0.0058967504,0.0197581146,0.0193315037,0.0125731276,0.0096931634,0.0404154584,0.0271181874,0.0126499496,0.0131591288,0.0107850134,0.0099164210,0.0054885722,0.0058951825,0.0007008854,0.0005147187,0.0269980617,0.0000000000,0.0000000000,0.0075459024,0.0100030182,0.0103354454,0.0210333578,0.0216846708,0.0000000009,0.0000000000,0.0000000000,0.0000000000,-0.0417416133,0.1713915467,-0.0072228196,0.0348453522,0.1714717299,0.0060329554
02:59:25:48.120,61,0.0140679795,0.2806366980,0.0575614460,0.0000000000,0.0000000000,0.0141834049,0.0000000000,0.0137968054,0.2804267108,0.0696411952,0.0000000000,0.0000000000,0.0141833955,0.0000000000,0.0074999039,0.0141117508,0.0000000000,0.0119167874,0.0131377997,0.0023439748,0.0593863912,0.0011124670,0.0000000000,0.0027665785,0.0100912880,0.0000000000,0.0000000000,0.0060295751,0.0058611776,0.0196664613,0.0192383453,0.0125335455,0.0096396487,0.0402981304,0.0270728748,0.0125927282,0.0131029105,0.0107285865,0.0098673524,0.0054767346,0.0058861468,0.0000406550,0.0000000000,0.0269349236,0.0000000000,0.0001473762,0.0074911900,0.0099476818,0.0102857184,0.0209468566,0.0215976909,0.0000000015,0.0000000000,0.0000000000,0.0000000000,-0.0419183597,0.1714550406,-0.0072561256,0.0346466601,0.1715351641,0.0060008331
02:59:25:49.121,61,0.0140976943,0.2808047831,0.0574461184,0.0000000000,0.0000000000,0.0140860341,0.0000000000,0.0138256354,0.2805937529,0.0696967468,0.0000000000,0.0000000000,0.0140860248,0.0000000000,0.0074719833,0.0141209504,0.0000000000,0.0118295364,0.0130382711,0.0023203639,0.0588629507,0.0010808608,0.0000000000,0.0030091219,0.0105776163,0.0000000000,0.0000000000,0.0060051065,0.0058366777,0.0195676927,0.0191359352,0.0125115681,0.0096031865,0.0402896926,0.0270927325,0.0125817414,0.0130944652,0.0106537100,0.0098002013,0.0054644281,0.0058745220,0.0000000000,0.0000000000,0.0268522426,0.0006573983,0.0008481266,0.0074620941,0.0098953061,0.0102371313,0.0208783187,0.0215290952,0.0000000022,0.0000000000,0.0000000000,0.0000000000,-0.0419510603,0.1715574265,-0.0072662043,0.0345766246,0.1716375053,0.0059923525
02:59:25:50.123,61,0.0142410137,0.2806589901,0.0578792058,0.0000000000,0.0000000000,0.0140021471,0.0000000000,0.0139631582,0.2804543376,0.0691796839,0.0000000000,0.0000000000,0.0140021378,0.0000000000,0.0074553858,0.0141289895,0.0000000000,0.0117491744,0.0129403714,0.0023042839,0.0585237816,0.0010728879,0.0000000000,0.0030886666,0.0106761539,0.0000000000,0.0000000000,0.0059887571,0.0058187768,0.0194681752,0.0190293696,0.0125129549,0.0095782224,0.0404170267,0.0272030067,0.0126207452,0.0131351054,0.0105767744,0.0097293053,0.0054617794,0.0058727809,0.0000000000,0.0000000000,0.0267553069,0.0013264855,0.0015202602,0.0074587101,0.0098521486,0.0101950699,0.0208390839,0.0214931257,0.0000000026,0.0000000000,0.0000000000,0.0000000000,-0.0416404568,0.1714699119,-0.0072086868,0.0348378345,0.1715499461,0.0060344609
02:59:25:51.125,61,0.0143489139,0.2805744410,0.0583482347,0.0000000000,0.0000000000,0.0139179183,0.0000000000,0.0140671013,0.2803763747,0.0686591268,0.0000000000,0.0000000000,0.0139179090,0.0000000000,0.0074333157,0.0141345486,0.0000000000,0.0116491513,0.0128149800,0.0022816705,0.0580749027,0.0010204925,0.0000000000,0.0031767518,0.0107282512,0.0000000000,0.0000000000,0.0059772735,0.0058064302,0.0193478726,0.0189054981,0.0125116678,0.0095494604,0.0405599289,0.0273298975,0.0126608005,0.0131787639,0.0104812775,0.0096441545,0.0054541752,0.0058654156,0.0000000000,0.0000000000,0.0266508516,0.0019788914,0.0021753539,0.0074505247,0.0098007331,0.0101451902,0.0207767673,0.0214337409,0.0000000029,0.0000000000,0.0000000000,0.0000000000,-0.0413274728,0.1714200079,-0.0071524130,0.0351204574,0.1714999825,0.0060815876
02:59:25:52.126,61,0.0144411968,0.2804575861,0.0584131405,0.0000000000,0.0000000000,0.0138448449,0.0000000000,0.0141561739,0.2802607119,0.0685471594,0.0000000000,0.0000000000,0.0138448346,0.0000000000,0.0074105342,0.0141270412,0.0000000000,0.0115514705,0.0126908077,0.0022614081,0.0577773154,0.0009244054,0.0000000000,0.0031528950,0.0105554434,0.0000000000,0.0000000000,0.0059582037,0.0057868985,0.0192212649,0.0187795945,0.0125092249,0.0095186755,0.0407385342,0.0274868384,0.0127109559,0.0132331271,0.0103765586,0.0095492955,0.0054494534,0.0058621098,0.0000000000,0.0000000000,0.0265751723,0.0026033502,0.0028028307,0.0074538155,0.0097557316,0.0100998795,0.0207234956,0.0213837493,0.0000000026,0.0000000000,0.0000000000,0.0000000000,-0.0412605777,0.1713488251,-0.0071378187,0.0351599567,0.1714287847,0.0060858470
02:59:25:53.128,61,0.0145473322,0.2806357443,0.0582940318,0.0000000000,0.0000000000,0.0137634594,0.0000000000,0.0142584741,0.2804397345,0.0686265305,0.0000000000,0.0000000000,0.0137634492,0.0000000000,0.0073927715,0.0141331237,0.0000000000,0.0114580449,0.0125799319,0.0022460541,0.0575027876,0.0008237630,0.0000000000,0.0032439125,0.0105121462,0.0000000000,0.0000000000,0.0059409421,0.0057703243,0.0191201903,0.0186782181,0.0125045246,0.0094871912,0.0409047045,0.0276266765,0.0127622290,0.0132886628,0.0102857910,0.0094670756,0.0054486832,0.0058631822,0.0000000000,0.0000000000,0.0264876243,0.0031683748,0.0033706371,0.0074600079,0.0097141741,0.0100575415,0.0206760950,0.0213396605,0.0000000024,0.0000000000,0.0000000000,0.0000000000,-0.0413075723,0.1714586318,-0.0071506137,0.0350876078,0.1715372503,0.0060772477
