Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:47:48:03.349,61,0.0015964486,0.0002399097,0.0319281295,0.0000000000,0.0000000000,0.0421436504,0.0985811874,0.0015906403,0.0005336259,0.0863350630,0.0000000000,0.0000000000,0.0421508700,0.0986305326,0.0090023121,0.0214062463,0.0000000000,0.0176695175,0.0215197224,0.0159757100,0.0549789704,0.0106484592,0.0000000000,0.0000000000,0.0000000000,0.0580936112,0.0709862635,0.0089338496,0.0092219133,0.0280315168,0.0279930830,0.0201901458,0.0096663078,0.0819504261,0.0530123264,0.0231254827,0.0233425759,0.0169363301,0.0149915116,0.0113184126,0.0111944657,0.0000000000,0.0000000000,0.0404502824,0.0913773030,0.0925987586,0.0162967760,0.0290211570,0.0316676088,0.0387513004,0.0378095470,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0527390949,0.0003264274,-0.0000172075,0.0195037853,0.0001465804,0.0000028587
02:47:48:04.350,61,0.0014617476,0.0000000000,0.0332587585,0.0000000000,0.0009574528,0.0418515913,0.0992001444,0.0014564075,0.0000000000,0.0850474462,0.0000000000,0.0005446148,0.0418589450,0.0992483720,0.0088621508,0.0215631668,0.0000000000,0.0174316783,0.0212706346,0.0157226678,0.0553137064,0.0108757950,0.0000000000,0.0000000000,0.0000000000,0.0583514236,0.0713384971,0.0087632947,0.0090402169,0.0278169550,0.0278158505,0.0198842995,0.0095683169,0.0815081820,0.0528879352,0.0227800142,0.0230167694,0.0166673101,0.0147118494,0.0111170039,0.0109979408,0.0000000000,0.0000000000,0.0403301455,0.0920769572,0.0932982042,0.0164094549,0.0286465436,0.0312889479,0.0382953249,0.0374339074,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0519525371,-0.0002379541,0.0000123568,0.0203166194,-0.0004178538,-0.0000084888
02:47:48:05.352,61,0.0013412561,0.0000000000,0.0333087035,0.0000000000,0.0028073404,0.0415833667,0.1000376865,0.0013363444,0.0000000000,0.0849951506,0.0000000000,0.0023924292,0.0415908620,0.1000857875,0.0087204464,0.0216874983,0.0000000000,0.0171653666,0.0209737327,0.0154155297,0.0553502291,0.0112152100,0.0000000000,0.0000000000,0.0000000000,0.0581517220,0.0713399351,0.0086019216,0.0088653043,0.0275378767,0.0275638252,0.0195792597,0.0094719734,0.0809680894,0.0527209640,0.0224383678,0.0226948038,0.0163802207,0.0144149382,0.0109121474,0.0107954955,0.0000000000,0.0000000000,0.0400539674,0.0925174952,0.0937398300,0.0164921712,0.0282470547,0.0308831092,0.0377995037,0.0370101258,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0519205555,-0.0010453030,0.0000542483,0.0203471184,-0.0012251869,-0.0000249273
02:47:48:06.354,61,0.0012322267,0.0000000000,0.0346017405,0.0000000000,0.0060367496,0.0414293371,0.1004423797,0.0012277080,0.0000000000,0.0837359205,0.0000000000,0.0056184181,0.0414370149,0.1004906818,0.0085949274,0.0217724517,0.0000000000,0.0169241540,0.0207026880,0.0151251601,0.0553470887,0.0116216987,0.0000000000,0.0000000000,0.0000000000,0.0578264333,0.0712938085,0.0084543303,0.0087042218,0.0272439141,0.0272876676,0.0193123110,0.0093914689,0.0804611966,0.0525642224,0.0221291408,0.0224027149,0.0161132272,0.0141376294,0.0107207289,0.0106043480,0.0000000000,0.0000000000,0.0397408865,0.0926240832,0.0938514471,0.0165665001,0.0278889891,0.0305120070,0.0373137854,0.0365942940,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0511512123,-0.0024547076,0.0001255068,0.0211369302,-0.0026346177,-0.0000556837
02:47:48:07.355,61,0.0011328816,0.0000000000,0.0353361517,0.0000000000,0.0081350375,0.0413393714,0.1006903648,0.0011287238,0.0000000000,0.0829990581,0.0000000000,0.0077147302,0.0413471758,0.1007396579,0.0084781647,0.0218087565,0.0000000000,0.0166939925,0.0204417575,0.0148365824,0.0551862456,0.0120401280,0.0000000000,0.0000000000,0.0000000000,0.0572831854,0.0711039007,0.0083170133,0.0085552335,0.0269381255,0.0269977413,0.0190684125,0.0093175694,0.0799274370,0.0523820408,0.0218300149,0.0221188776,0.0158659536,0.0138780968,0.0105471089,0.0104302885,0.0000000000,0.0000000000,0.0394072495,0.0926547498,0.0938918144,0.0166035742,0.0275684167,0.0301734861,0.0368496142,0.0361955836,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0507009551,-0.0033705169,0.0001708159,0.0215854924,-0.0035504070,-0.0000766316
02:47:48:08.357,61,0.0010419864,0.0000000000,0.0367386080,0.0000000000,0.0133184772,0.0415424854,0.1020558774,0.0010381604,0.0000000000,0.0813846216,0.0000000000,0.0129094990,0.0415504798,0.1021106318,0.0083931889,0.0217800178,0.0000000000,0.0164502431,0.0201456193,0.0145353600,0.0549533851,0.0125703216,0.0000000000,0.0000000000,0.0000000000,0.0571727194,0.0714726821,0.0081967609,0.0084190471,0.0266446248,0.0267224889,0.0188865736,0.0092419554,0.0798317939,0.0525739901,0.0215682797,0.0218733121,0.0155980932,0.0135986283,0.0104129547,0.0102949906,0.0000000000,0.0000000000,0.0388866961,0.0849763528,0.0863319710,0.0166972764,0.0272959359,0.0298842732,0.0364051685,0.0358090103,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0497142486,-0.0056397994,0.0002802659,0.0224419627,-0.0058127446,-0.0001304399
02:47:48:09.358,61,0.0009586200,0.0000000000,0.0377626456,0.0000000000,0.0153930476,0.0417414121,0.1043141112,0.0009550991,0.0000000000,0.0803678259,0.0000000000,0.0149827348,0.0417495333,0.1043803990,0.0083123986,0.0217350442,0.0000000000,0.0162111986,0.0198533572,0.0142278811,0.0546786971,0.0130650038,0.0000000000,0.0000000000,0.0000000000,0.0571560636,0.0719548240,0.0080784857,0.0082859872,0.0263500046,0.0264496319,0.0187117476,0.0091640120,0.0797459930,0.0527789146,0.0213054195,0.0216252133,0.0153307356,0.0133219054,0.0102896299,0.0101721259,0.0000000000,0.0000000000,0.0383464508,0.0818764865,0.0832867622,0.0167786349,0.0270175785,0.0295891017,0.0359803922,0.0354399160,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0490928665,-0.0065453378,0.0003212049,0.0230673645,-0.0067182705,-0.0001549614
02:47:48:10.360,61,0.0008820498,0.0000000000,0.0385378711,0.0000000000,0.0177133288,0.0419767834,0.1067836061,0.0008788097,0.0000000000,0.0796035975,0.0000000000,0.0173014496,0.0419850089,0.1068599001,0.0082610818,0.0216999296,0.0000000000,0.0160028059,0.0195903648,0.0139644053,0.0544906892,0.0134912441,0.0000000000,0.0000000000,0.0000000000,0.0578158796,0.0749533325,0.0079653673,0.0081601413,0.0260855500,0.0262115151,0.0185813010,0.0090958588,0.0798249990,0.0531000122,0.0210810062,0.0214114469,0.0150782699,0.0130645605,0.0101849670,0.0100664198,0.0000000000,0.0000000000,0.0377981365,0.0799201131,0.0813609734,0.0169066470,0.0267714113,0.0293309614,0.0356039293,0.0351123437,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0486256890,-0.0075581158,0.0003673807,0.0235407427,-0.0077310395,-0.0001819812
02:47:48:11.361,61,0.0008116635,0.0000000000,0.0394227915,0.0000000000,0.0199275129,0.0422101319,0.1112159193,0.0008086816,0.0000000000,0.0787046328,0.0000000000,0.0195145030,0.0422184467,0.1112954095,0.0082204388,0.0216673817,0.0000000000,0.0158204511,0.0193538256,0.0137286037,0.0543433949,0.0138721960,0.0000000000,0.0000000000,0.0000000000,0.0592389330,0.0780780390,0.0078583658,0.0080415551,0.0258617233,0.0260190573,0.0184666086,0.0090317875,0.0799484178,0.0534405820,0.0208672844,0.0212065000,0.0148372557,0.0128190182,0.0100846132,0.0099648954,0.0000000000,0.0000000000,0.0372942500,0.0787635222,0.0802157968,0.0170361251,0.0265483856,0.0291030053,0.0352451168,0.0347979888,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0480761826,-0.0085246572,0.0004096850,0.0240811035,-0.0086975405,-0.0002094314
02:47:48:12.363,61,0.0007469300,0.0000000000,0.0396172218,0.0000000000,0.0203266535,0.0423936658,0.1153570116,0.0007441858,0.0000000000,0.0785011053,0.0000000000,0.0199135188,0.0424021035,0.1154415160,0.0082068266,0.0216828529,0.0000000000,0.0156663321,0.0191535745,0.0135380877,0.0542671829,0.0141681703,0.0000000000,0.0000000000,0.0000000000,0.0647822618,0.0838954225,0.0077548590,0.0079287048,0.0256881360,0.0258798711,0.0183950830,0.0089725172,0.0801933706,0.0538537651,0.0206747986,0.0210199151,0.0146260178,0.0126034627,0.0100059239,0.0098882932,0.0000000000,0.0000000000,0.0369037092,0.0782991797,0.0797543079,0.0171787478,0.0263536144,0.0289141908,0.0349507369,0.0345443152,0.0000000001,0.0000000000,0.0000000000,0.0000000000,-0.0479517914,-0.0086989105,0.0004169790,0.0241998341,-0.0088717733,-0.0002146801
