Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
04:25:30:37.768,61,0.0268575437,0.0584728718,0.0196210872,0.0000000000,0.0000000000,0.0520783477,0.0000000000,0.0262164883,0.0585084856,0.1021577865,0.0000000000,0.0000000000,0.0520820878,0.0000000000,0.0117330207,0.0374033526,0.0000000000,0.0246545188,0.0290963314,0.0164356120,0.0842897370,0.0221286863,0.0000000000,0.0000000000,0.0000000000,0.1165377349,0.1134973019,0.0067817052,0.0070893210,0.0362597108,0.0337286815,0.0238206256,0.0081281755,0.1049860492,0.0673320442,0.0226096679,0.0221774187,0.0220702868,0.0192751773,0.0103407502,0.0101082083,0.0040508648,0.0032875221,0.0240660273,0.0000000000,0.0000000000,0.0234413724,0.0262887031,0.0287194382,0.0294903331,0.0323735736,0.0000001163,0.0000000000,0.0000000000,0.0000000000,-0.0623647459,0.0358104482,-0.0022328130,0.0119781978,0.0357216150,0.0004280523
04:25:30:38.769,61,0.0320910141,0.0604533851,0.0209108274,0.0000000000,0.0000000000,0.0519054718,0.0000000000,0.0314355642,0.0604887232,0.1008871943,0.0000000000,0.0000000000,0.0519091226,0.0000000000,0.0117214043,0.0374067388,0.0000000000,0.0245694481,0.0290006734,0.0163876750,0.0843531266,0.0221249741,0.0000000000,0.0000000000,0.0000000000,0.1165861487,0.1136247367,0.0067683542,0.0070744562,0.0362024084,0.0336734802,0.0238198228,0.0081088906,0.1051643118,0.0674674436,0.0226292070,0.0221957285,0.0220146701,0.0192142539,0.0103397425,0.0101051936,0.0035059350,0.0027425783,0.0241340809,0.0000000000,0.0000000000,0.0234685950,0.0262509566,0.0286654495,0.0294766631,0.0323718153,0.0000001444,0.0000000000,0.0000000000,0.0000000000,-0.0615863614,0.0370206758,-0.0022795652,0.0127649894,0.0369318798,0.0004716367
04:25:30:39.771,61,0.0338287503,0.0615879633,0.0222026482,0.0000000000,0.0000000000,0.0517022572,0.0000000000,0.0331688412,0.0616248101,0.0995804816,0.0000000000,0.0000000000,0.0517058745,0.0000000000,0.0117167393,0.0374270119,0.0000000000,0.0245195273,0.0289558358,0.0164078828,0.0843561143,0.0222622175,0.0000000000,0.0000000000,0.0000000000,0.1165868640,0.1136559322,0.0067672036,0.0070737693,0.0362188481,0.0336736590,0.0238140114,0.0080848029,0.1053571701,0.0676521808,0.0226534270,0.0222214293,0.0220574271,0.0192427821,0.0103896279,0.0101490868,0.0029910067,0.0022287639,0.0242046062,0.0000000000,0.0000000000,0.0234536994,0.0262105763,0.0286092795,0.0294625014,0.0323623680,0.0000001324,0.0000000000,0.0000000000,0.0000000000,-0.0607871078,0.0377141461,-0.0022922051,0.0135532292,0.0376253985,0.0005101708
04:25:30:40.772,61,0.0350768231,0.0630968213,0.0233380906,0.0000000000,0.0000000000,0.0515125021,0.0000000000,0.0344168581,0.0631342158,0.0984320641,0.0000000000,0.0000000000,0.0515160784,0.0000000000,0.0116868876,0.0374623574,0.0000000000,0.0244266558,0.0288594160,0.0163723622,0.0843292400,0.0223400649,0.0000000000,0.0000000000,0.0000000000,0.1162675843,0.1133581847,0.0067634843,0.0070707183,0.0361751728,0.0336218514,0.0237819459,0.0080596311,0.1054938957,0.0677890033,0.0226839501,0.0222540796,0.0220333748,0.0192121882,0.0104043698,0.0101603242,0.0025712103,0.0018122233,0.0242227018,0.0000000000,0.0000000000,0.0234542191,0.0261461996,0.0285298321,0.0294231474,0.0323261321,0.0000001145,0.0000000000,0.0000000000,0.0000000000,-0.0600839704,0.0386362448,-0.0023211737,0.0142458398,0.0385475755,0.0005493960
04:25:30:41.774,61,0.0358587466,0.0638557822,0.0240574162,0.0000000000,0.0000000000,0.0512798354,0.0000000000,0.0352000855,0.0638939440,0.0977067724,0.0000000000,0.0000000000,0.0512833819,0.0000000000,0.0116768051,0.0375254340,0.0000000000,0.0243244711,0.0287543982,0.0163624398,0.0844022334,0.0224192087,0.0000000000,0.0000000000,0.0000000000,0.1163150817,0.1133854389,0.0067548258,0.0070626237,0.0361598730,0.0335970111,0.0237623435,0.0080318749,0.1057348624,0.0679883212,0.0227280390,0.0223025363,0.0220206380,0.0191881396,0.0104234647,0.0101761306,0.0020256517,0.0012687296,0.0242572706,0.0000000000,0.0000000000,0.0234958213,0.0260810591,0.0284531899,0.0293984786,0.0323084407,0.0000001891,0.0000000000,0.0000000000,0.0000000000,-0.0596401729,0.0391001441,-0.0023317414,0.0146846613,0.0390114859,0.0005731406
04:25:30:42.775,61,0.0362507366,0.0645914972,0.0244607888,0.0000000000,0.0000000000,0.0509823300,0.0000000000,0.0355910808,0.0646296144,0.0972735211,0.0000000000,0.0000000000,0.0509858951,0.0000000000,0.0116660800,0.0377001539,0.0000000000,0.0242469404,0.0286732633,0.0163535923,0.0845153257,0.0226101540,0.0000000000,0.0000000000,0.0000000000,0.1162273735,0.1132818535,0.0067531876,0.0070632873,0.0361563265,0.0335743204,0.0237585343,0.0080091301,0.1059770137,0.0681784004,0.0227781981,0.0223596338,0.0220127683,0.0191644821,0.0104454868,0.0101930369,0.0013823509,0.0006255675,0.0242979191,0.0000000000,0.0000000000,0.0235362798,0.0259982646,0.0283638462,0.0293714590,0.0322851874,0.0000002407,0.0000000000,0.0000000000,0.0000000000,-0.0593746603,0.0395497195,-0.0023480912,0.0149306161,0.0394611061,0.0005894626
04:25:30:43.777,61,0.0366163701,0.0658132061,0.0245242566,0.0000000000,0.0000000000,0.0507091992,0.0000000000,0.0359583348,0.0658494383,0.0971995965,0.0000000000,0.0000000000,0.0507127792,0.0000000000,0.0116455499,0.0377769209,0.0000000000,0.0241670031,0.0285981558,0.0163590182,0.0844345242,0.0227334537,0.0000000000,0.0000000000,0.0000000000,0.1160141304,0.1129851639,0.0067517371,0.0070630158,0.0361365974,0.0335324556,0.0237299614,0.0079870336,0.1060354561,0.0682716146,0.0228083581,0.0223974455,0.0220427122,0.0191806182,0.0104860561,0.0102298437,0.0008024238,0.0000480711,0.0243382212,0.0000000000,0.0000000000,0.0235319771,0.0259434935,0.0283042751,0.0293567646,0.0322745517,0.0000002831,0.0000000000,0.0000000000,0.0000000000,-0.0593277700,0.0402960703,-0.0023905633,0.0149689093,0.0402075015,0.0006021645
04:25:30:44.779,61,0.0366036892,0.0664687753,0.0251093023,0.0000000000,0.0000000000,0.0504157320,0.0000000000,0.0359482765,0.0665056929,0.0965983123,0.0000000000,0.0000000000,0.0504193008,0.0000000000,0.0116348611,0.0377206393,0.0000000000,0.0240873061,0.0285347588,0.0164103117,0.0841404647,0.0228120256,0.0000000000,0.0000000000,0.0000000000,0.1157344431,0.1126542613,0.0067547210,0.0070685316,0.0361284427,0.0335165672,0.0237067100,0.0079649696,0.1060473323,0.0683870167,0.0228305291,0.0224229693,0.0221271273,0.0192538556,0.0105739515,0.0103154760,0.0003609955,0.0000000000,0.0243557412,0.0000000000,0.0003892686,0.0234783031,0.0259190686,0.0282753669,0.0293681715,0.0322857499,0.0000002972,0.0000000000,0.0000000000,0.0000000000,-0.0589598082,0.0406967737,-0.0023994038,0.0153257577,0.0406082347,0.0006226698
04:25:30:45.780,61,0.0367685817,0.0671470463,0.0260474067,0.0000000000,0.0000000000,0.0502363890,0.0000000000,0.0361178666,0.0671856925,0.0956557542,0.0000000000,0.0000000000,0.0502399467,0.0000000000,0.0116516063,0.0377322324,0.0000000000,0.0240206756,0.0284887273,0.0165175144,0.0839267075,0.0228907112,0.0000000000,0.0000000000,0.0000000000,0.1157805845,0.1125380620,0.0067614126,0.0070780558,0.0361779183,0.0335418470,0.0237026364,0.0079441257,0.1062517241,0.0686381012,0.0228887200,0.0224871933,0.0222597811,0.0193679854,0.0106843989,0.0104215704,0.0001863819,0.0000000000,0.0243369788,0.0000000000,0.0005598478,0.0234694593,0.0259097330,0.0282624885,0.0294003561,0.0323210992,0.0000002379,0.0000000000,0.0000000000,0.0000000000,-0.0583835244,0.0411114953,-0.0024002185,0.0158980750,0.0410229862,0.0006525250
04:25:30:46.782,61,0.0370038301,0.0677841380,0.0267734341,0.0000000000,0.0000000000,0.0500835963,0.0000000000,0.0363567658,0.0678239837,0.0949366987,0.0000000000,0.0000000000,0.0500871055,0.0000000000,0.0116794193,0.0376254059,0.0000000000,0.0239673350,0.0284716655,0.0166576076,0.0834579244,0.0229718983,0.0000000000,0.0000000000,0.0000000000,0.1156783104,0.1123090759,0.0067784586,0.0070998715,0.0362642854,0.0336033404,0.0236989688,0.0079306671,0.1062807366,0.0687996298,0.0229251217,0.0225257110,0.0225005597,0.0195835643,0.0108348131,0.0105689308,0.0001032110,0.0000000000,0.0243224930,0.0000000000,0.0006406158,0.0233816709,0.0259242933,0.0282646641,0.0294265989,0.0323498175,0.0000001676,0.0000000000,0.0000000000,0.0000000000,-0.0579437092,0.0415010117,-0.0024047534,0.0163409393,0.0414125100,0.0006770763
