Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
20:44:04:48.158,61,0.0369713716,0.0477533564,0.0155984489,0.0000000000,0.0000000000,0.3184736669,0.0000000000,0.0363160148,0.0477220044,0.1013881341,0.0000000000,0.0000000000,0.3184975982,0.0000000000,0.0328951031,0.0000000000,0.0003068324,0.0622009896,0.0822711065,0.0677437857,0.0730454624,0.0049869213,0.0000000000,0.2075205892,0.2227055281,0.0000000000,0.0000000000,0.0493752174,0.0550969094,0.0905091912,0.0940849110,0.1080166921,0.0527114868,0.1267350018,0.0774106458,0.0706146136,0.0692293420,0.1349948794,0.1372583061,0.0438164324,0.0421198942,0.1586161554,0.1584717333,0.0530734807,0.0000000000,0.0000000000,0.0253740568,0.1306223124,0.1359537095,0.2764631212,0.2676415443,0.0000000106,0.0000000000,0.0000000000,0.0000000000,-0.0619081333,0.0292076841,-0.0018075506,0.0095244972,0.0291721877,0.0002779250
20:44:04:49.160,61,0.0370021574,0.0472235121,0.0172175113,0.0000000000,0.0000000000,0.3182920516,0.0000000000,0.0363423787,0.0471965447,0.0997509286,0.0000000000,0.0000000000,0.3183147013,0.0000000000,0.0330697075,0.0000000000,0.0003989019,0.0626765043,0.0828911960,0.0681970865,0.0730876327,0.0049972958,0.0000000000,0.2072664797,0.2222895026,0.0000000000,0.0000000000,0.0493446626,0.0550422706,0.0907899365,0.0943695381,0.1084569171,0.0530853085,0.1262562722,0.0769029036,0.0704970434,0.0691025332,0.1355056316,0.1376808584,0.0436639525,0.0419736952,0.1587250531,0.1585753113,0.0529315136,0.0000000000,0.0000000000,0.0253040809,0.1309357136,0.1361557990,0.2764182389,0.2675592005,0.0000000087,0.0000000000,0.0000000000,0.0000000000,-0.0609090291,0.0288843121,-0.0017587149,0.0105132051,0.0288487989,0.0003033719
20:44:04:50.162,61,0.0354353674,0.0467061549,0.0179025624,0.0000000000,0.0000000000,0.3185749948,0.0000000000,0.0348044895,0.0466815904,0.0990351513,0.0000000000,0.0000000000,0.3185967505,0.0000000000,0.0332408138,0.0000000000,0.0004557595,0.0630721226,0.0833934993,0.0685835555,0.0731862038,0.0049253451,0.0000000000,0.2061992288,0.2207110524,0.0000000000,0.0000000000,0.0492612123,0.0549469329,0.0909956694,0.0946190432,0.1088978350,0.0534405597,0.1261849552,0.0767125487,0.0704851523,0.0690741912,0.1358574778,0.1379432678,0.0435751490,0.0418888293,0.1596119553,0.1594554037,0.0525893234,0.0000000000,0.0000000000,0.0252060313,0.1311741173,0.1363392472,0.2869333029,0.2761069238,0.0000000089,0.0000000000,0.0000000000,0.0000000000,-0.0604725108,0.0285683982,-0.0017270179,0.0109316027,0.0285328738,0.0003119885
20:44:04:51.163,61,0.0348714627,0.0470486097,0.0186392348,0.0000000000,0.0000000000,0.3192777932,0.0000000000,0.0342497863,0.0470249616,0.0982699469,0.0000000000,0.0000000000,0.3192982674,0.0000000000,0.0334096700,0.0000000000,0.0004775683,0.0633552298,0.0837170854,0.0688261762,0.0731981769,0.0048002480,0.0000000000,0.2060379088,0.2204930633,0.0000000000,0.0000000000,0.0492373519,0.0549279749,0.0910096839,0.0946650356,0.1094072759,0.0538109019,0.1265220344,0.0768285692,0.0706439018,0.0692191571,0.1361240000,0.1381347924,0.0436314084,0.0419559442,0.1663180292,0.1661654711,0.0520712286,0.0000000000,0.0000000000,0.0250824559,0.1315485686,0.1367205828,0.3115071356,0.3015739918,0.0000000102,0.0000000000,0.0000000000,0.0000000000,-0.0600049049,0.0287777279,-0.0017262436,0.0113813598,0.0287422258,0.0003272086
20:44:04:52.165,61,0.0343838334,0.0473867282,0.0190845039,0.0000000000,0.0000000000,0.3198494017,0.0000000000,0.0337685980,0.0473634414,0.0977778733,0.0000000000,0.0000000000,0.3198688924,0.0000000000,0.0335527994,0.0000000000,0.0005311499,0.0633474514,0.0836387798,0.0687230825,0.0729253590,0.0046956711,0.0000000000,0.2081200033,0.2229355276,0.0000000000,0.0000000000,0.0493086167,0.0550182387,0.0909548625,0.0946489796,0.1099184006,0.0541014336,0.1270468384,0.0770890191,0.0708117411,0.0693747625,0.1361219734,0.1380859613,0.0436965339,0.0420338213,0.1687268168,0.1685753316,0.0515332110,0.0000000000,0.0000000000,0.0249859877,0.1318528354,0.1370410770,0.3185668886,0.3087511361,0.0000000102,0.0000000000,0.0000000000,0.0000000000,-0.0597040877,0.0289843399,-0.0017299382,0.0116531765,0.0289488733,0.0003374329
20:44:04:53.167,61,0.0341124013,0.0478851162,0.0195882004,0.0000000000,0.0000000000,0.3204215765,0.0000000000,0.0335022770,0.0478620753,0.0972015858,0.0000000000,0.0000000000,0.3204401135,0.0000000000,0.0336690694,0.0000000000,0.0006411087,0.0633278117,0.0835680962,0.0685660765,0.0724530146,0.0046500564,0.0000000000,0.2154125720,0.2293407023,0.0000000000,0.0000000000,0.0494548194,0.0551771149,0.0909122229,0.0946300402,0.1104491055,0.0544384420,0.1273718476,0.0772177204,0.0709011704,0.0694547072,0.1363285631,0.1382409036,0.0438262746,0.0421665199,0.1702416241,0.1700918972,0.0510480627,0.0000000000,0.0000000000,0.0248607043,0.1323229074,0.1375160366,0.3222768903,0.3125283122,0.0000000113,0.0000000000,0.0000000000,0.0000000000,-0.0593516678,0.0292888656,-0.0017378179,0.0119606312,0.0292534474,0.0003499812
20:44:04:54.168,61,0.0340821221,0.0475242361,0.0209193788,0.0000000000,0.0000000000,0.3244771957,0.0000000000,0.0334777534,0.0474856049,0.0960830823,0.0000000000,0.0000000000,0.3244957328,0.0000000000,0.0338279866,0.0000000000,0.0008504663,0.0636656284,0.0840513483,0.0686396360,0.0719894916,0.0045628627,0.0000000000,0.2177365869,0.2316470444,0.0000000000,0.0000000000,0.0496141315,0.0553529486,0.0916925371,0.0957484245,0.1110508814,0.0548806489,0.1271173954,0.0769784972,0.0709191933,0.0694655403,0.1393957734,0.1417835355,0.0439816490,0.0423387364,0.1713446379,0.1711981893,0.0506722033,0.0000000000,0.0000000000,0.0246650670,0.1330036670,0.1384463608,0.3230788112,0.3134142756,0.0000000100,0.0000000000,0.0000000000,0.0000000000,-0.0586690977,0.0290573165,-0.0017042669,0.0127735380,0.0290332772,0.0003709518
20:44:04:55.170,61,0.0341823176,0.0476256832,0.0222349130,0.0000000000,0.0000000000,0.3260636330,0.0000000000,0.0335883908,0.0475896038,0.0947700962,0.0000000000,0.0000000000,0.3260819018,0.0000000000,0.0339771658,0.0000000000,0.0011533168,0.0641132519,0.0848559514,0.0688343719,0.0716807097,0.0043949736,0.0000000000,0.2173156589,0.2323219180,0.0000000000,0.0000000000,0.0497276634,0.0554778874,0.0930679590,0.0976878107,0.1115098447,0.0553283431,0.1265528500,0.0765477195,0.0709019676,0.0694425106,0.1416546553,0.1443288773,0.0440148264,0.0424102172,0.1717328131,0.1715909988,0.0504282862,0.0000000000,0.0000000000,0.0244686846,0.1332572401,0.1387957633,0.3124467134,0.3051057160,0.0000000076,0.0000000000,0.0000000000,0.0000000000,-0.0578672774,0.0291195903,-0.0016846058,0.0135767888,0.0290955566,0.0003951236
20:44:04:56.171,61,0.0358348824,0.0487392396,0.0243825652,0.0000000000,0.0000000000,0.3253709376,0.0000000000,0.0352964550,0.0487058461,0.0926468298,0.0000000000,0.0000000000,0.3253880143,0.0000000000,0.0341220275,0.0000000000,0.0013379155,0.0648915097,0.0868996605,0.0691542625,0.0715422109,0.0042989920,0.0000000000,0.2141668499,0.2307748795,0.0000000000,0.0000000000,0.0498504639,0.0556236207,0.0954881608,0.1002767310,0.1119055897,0.0557342768,0.1253547966,0.0759306774,0.0707892552,0.0693264604,0.1429729015,0.1456838548,0.0438961275,0.0423252396,0.1674464345,0.1673164666,0.0505367592,0.0000000000,0.0000000000,0.0242854469,0.1331361681,0.1386819184,0.2834949195,0.2782220542,0.0000000063,0.0000000000,0.0000000000,0.0000000000,-0.0565696582,0.0298003945,-0.0016853964,0.0148878628,0.0297764130,0.0004434218
20:44:04:57.173,61,0.0365360864,0.0497127399,0.0255815256,0.0000000000,0.0000000000,0.3216288984,0.0000000000,0.0360179581,0.0496802889,0.0915324017,0.0000000000,0.0000000000,0.3216418624,0.0000000000,0.0342184193,0.0000000000,0.0015862637,0.0654394180,0.0878426954,0.0694664568,0.0716600940,0.0041917027,0.0000000000,0.2112935185,0.2280456871,0.0000000000,0.0000000000,0.0499059781,0.0557069927,0.0971250460,0.1025129110,0.1119640544,0.0558816716,0.1247190535,0.0754540041,0.0707370341,0.0692576841,0.1435644478,0.1463084966,0.0437120609,0.0421669483,0.1602444947,0.1601148099,0.0509292744,0.0000000000,0.0000000000,0.0241963100,0.1328241527,0.1383298188,0.2699167132,0.2654424608,0.0000000048,0.0000000000,0.0000000000,0.0000000000,-0.0558881946,0.0303954389,-0.0016983835,0.0156196617,0.0303714946,0.0004745190
