Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:55:32:15.787,61,0.0016092182,0.1253863424,0.0000000000,0.0290607028,0.0000000000,0.0187559389,0.0064359740,0.0016127770,0.1251874119,0.1475971043,0.0000000000,0.0000000000,0.0187600683,0.0064029605,0.0132378228,0.0124786701,0.0000000000,0.0187148787,0.0203061476,0.0110410862,0.0374890119,0.0000000000,0.0083492287,0.0000000000,0.0000000000,0.0424935929,0.0451420732,0.0077708689,0.0076433038,0.0304824095,0.0319499746,0.0217277780,0.0127669154,0.0753268376,0.0473304167,0.0172988623,0.0182678215,0.0124863544,0.0110283364,0.0102923904,0.0109751876,0.0000000000,0.0000000000,0.0311231092,0.0678323060,0.0678088516,0.0130639458,0.0198449977,0.0215817131,0.0343923382,0.0318029821,0.0000000042,0.0000000000,0.0000000000,0.0000000000,-0.0898977369,0.0767833143,-0.0069068214,-0.0177001227,0.0766061842,-0.0013585258
02:55:32:16.789,61,0.0014877557,0.1268466562,0.0000000000,0.0297319908,0.0000000000,0.0187723804,0.0066750543,0.0014910366,0.1266382784,0.1482928544,0.0000000000,0.0000000000,0.0187764745,0.0066402028,0.0132561391,0.0122097209,0.0000000000,0.0186745897,0.0202800352,0.0111142844,0.0378461219,0.0000000000,0.0080914991,0.0000000000,0.0000000000,0.0421507061,0.0461194329,0.0077502318,0.0076177432,0.0304533094,0.0319353566,0.0218208004,0.0127703864,0.0756688491,0.0475879721,0.0173808187,0.0183387958,0.0125101358,0.0110528935,0.0103790965,0.0110473949,0.0000000000,0.0000000000,0.0313819796,0.0677540004,0.0677317381,0.0131252091,0.0199610759,0.0216846447,0.0345308334,0.0318858176,0.0000000044,0.0000000000,0.0000000000,0.0000000000,-0.0903152898,0.0776761472,-0.0070198192,-0.0181077383,0.0774989575,-0.0014060691
02:55:32:17.791,61,0.0016603592,0.1282207966,0.0000000000,0.0317079909,0.0000000000,0.0188068189,0.0062390734,0.0016654474,0.1279959083,0.1502849311,0.0000000000,0.0000000000,0.0188108813,0.0062029175,0.0132616209,0.0118373316,0.0000000000,0.0186484177,0.0202809572,0.0111809969,0.0382506438,0.0000000000,0.0078299353,0.0000000000,0.0000000000,0.0417943597,0.0464052521,0.0077247680,0.0075864601,0.0303776339,0.0318787917,0.0218755621,0.0128004607,0.0757395104,0.0476457737,0.0174371507,0.0183844659,0.0125421071,0.0110891657,0.0104369866,0.0110913403,0.0000000000,0.0000000000,0.0315955505,0.0676122084,0.0675900578,0.0131792342,0.0200256817,0.0217390489,0.0346348323,0.0319321640,0.0000000047,0.0000000000,0.0000000000,0.0000000000,-0.0915225893,0.0785175413,-0.0071907602,-0.0193099156,0.0783402696,-0.0015157511
02:55:32:18.792,61,0.0016520440,0.1279131323,0.0000000000,0.0315615423,0.0000000000,0.0188585669,0.0060850917,0.0016573415,0.1276903450,0.1501227468,0.0000000000,0.0000000000,0.0188626181,0.0060482537,0.0132848909,0.0115425149,0.0000000000,0.0186556205,0.0203118976,0.0112514552,0.0386027172,0.0000000000,0.0075181448,0.0000000000,0.0000000000,0.0418516546,0.0469104759,0.0077042994,0.0075597507,0.0303632580,0.0318753533,0.0219224878,0.0128417891,0.0757416636,0.0476214625,0.0174744967,0.0184128135,0.0125787370,0.0111258551,0.0104630105,0.0110987118,0.0000000000,0.0000000000,0.0317233279,0.0672762468,0.0672547817,0.0132193575,0.0200979263,0.0218011495,0.0347355828,0.0319786593,0.0000000023,0.0000000000,0.0000000000,0.0000000000,-0.0914251581,0.0783294067,-0.0071658455,-0.0192210171,0.0781521648,-0.0015051359
02:55:32:19.794,61,0.0016859792,0.1279452145,0.0000000000,0.0325639285,0.0000000000,0.0189192258,0.0057751266,0.0016914650,0.1277168989,0.1510772556,0.0000000000,0.0000000000,0.0189232584,0.0057388553,0.0133604659,0.0111895436,0.0000000000,0.0186913181,0.0203700084,0.0113756731,0.0390465483,0.0000000000,0.0072433734,0.0000000000,0.0000000000,0.0422061794,0.0480619036,0.0076910225,0.0075415634,0.0304111838,0.0319469608,0.0220619347,0.0128857885,0.0760644600,0.0478022844,0.0175769161,0.0185046513,0.0126354713,0.0111842118,0.0105429851,0.0111620147,0.0000000000,0.0000000000,0.0319779329,0.0670435205,0.0670229644,0.0133063439,0.0202380978,0.0219256077,0.0349237770,0.0321005285,0.0000000018,0.0000000000,0.0000000000,0.0000000000,-0.0920063332,0.0783498958,-0.0072131604,-0.0198314432,0.0781726912,-0.0015533398
02:55:32:20.795,61,0.0017008270,0.1285663843,0.0000000000,0.0339899175,0.0000000000,0.0188914947,0.0054448214,0.0017063170,0.1283276379,0.1524820179,0.0000000000,0.0000000000,0.0188954677,0.0054097408,0.0133414855,0.0108574321,0.0000000000,0.0187142827,0.0204199422,0.0114415269,0.0392387509,0.0000000000,0.0069710324,0.0000000000,0.0000000000,0.0365422256,0.0461475290,0.0077139861,0.0075576813,0.0303574242,0.0319085792,0.0221354794,0.0129268812,0.0761642084,0.0478553921,0.0176632963,0.0185815301,0.0126947016,0.0112405308,0.0106185004,0.0112214740,0.0000000000,0.0000000000,0.0321922190,0.0669949725,0.0669756457,0.0133222360,0.0203540120,0.0220208820,0.0350746661,0.0321807861,0.0000000107,0.0000000000,0.0000000000,0.0000000000,-0.0928590968,0.0787307993,-0.0073153595,-0.0206992514,0.0785536021,-0.0016292357
02:55:32:21.797,61,0.0016220295,0.1292600334,0.0000000000,0.0347567759,0.0000000000,0.0187912639,0.0053768274,0.0016272689,0.1290141940,0.1532336175,0.0000000000,0.0000000000,0.0187951773,0.0053431308,0.0133386739,0.0106180422,0.0000000000,0.0187857188,0.0205191653,0.0115639847,0.0394926108,0.0000000000,0.0066544358,0.0000000000,0.0000000000,0.0348411500,0.0455677249,0.0077500325,0.0075882412,0.0304007661,0.0319622569,0.0222390667,0.0129605373,0.0764779672,0.0480368584,0.0177817438,0.0186907481,0.0127875796,0.0113233021,0.0107265143,0.0113131888,0.0000000000,0.0000000000,0.0324389413,0.0670702681,0.0670523196,0.0133670354,0.0204418506,0.0220884476,0.0352282412,0.0322735012,0.0000000187,0.0000000000,0.0000000000,0.0000000000,-0.0933137089,0.0791553929,-0.0073908768,-0.0211655479,0.0789781883,-0.0016749742
02:55:32:22.798,61,0.0015231392,0.1284828335,0.0000000000,0.0352796912,0.0000000000,0.0187377110,0.0054015089,0.0015280611,0.1282372624,0.1537459940,0.0000000000,0.0000000000,0.0187415965,0.0053689312,0.0133743761,0.0104933437,0.0000000000,0.0189162940,0.0206884611,0.0117339622,0.0397065841,0.0000000000,0.0063432925,0.0000000000,0.0000000000,0.0340260714,0.0452388600,0.0077948160,0.0076295086,0.0305304565,0.0320939533,0.0223718043,0.0129957749,0.0768412426,0.0482450239,0.0178818386,0.0187832732,0.0129181212,0.0114358328,0.0108519644,0.0114260949,0.0000000000,0.0000000000,0.0326670706,0.0672319904,0.0672153831,0.0134129003,0.0205240753,0.0221558530,0.0353530161,0.0323537737,0.0000000227,0.0000000000,0.0000000000,0.0000000000,-0.0936292335,0.0786810145,-0.0073711686,-0.0214847848,0.0785038546,-0.0016899803
02:55:32:23.800,61,0.0014180139,0.1279181540,0.0000000000,0.0354038104,0.0000000000,0.0186650865,0.0062308498,0.0014225972,0.1276742071,0.1538648456,0.0000000000,0.0000000000,0.0186689533,0.0061985385,0.0133603336,0.0104580158,0.0000000000,0.0190321580,0.0208324809,0.0118422136,0.0397666097,0.0000000000,0.0061459225,0.0000000000,0.0000000000,0.0331793241,0.0436619595,0.0078662345,0.0076975562,0.0306338761,0.0321947597,0.0224565100,0.0130265672,0.0770438984,0.0483675599,0.0179581568,0.0188577790,0.0130311912,0.0115295267,0.0109377000,0.0115065435,0.0000000000,0.0000000000,0.0328349508,0.0674530119,0.0674376711,0.0134182554,0.0205705725,0.0221983306,0.0353965648,0.0323778614,0.0000000285,0.0000000000,0.0000000000,0.0000000000,-0.0937041268,0.0783361048,-0.0073445770,-0.0215609539,0.0781589597,-0.0016884895
02:55:32:24.802,61,0.0013137111,0.1265577376,0.0000000000,0.0340830758,0.0000000000,0.0186861064,0.0068341396,0.0013179578,0.1263267249,0.1525456905,0.0000000000,0.0000000000,0.0186899863,0.0068013016,0.0133625139,0.0103928065,0.0000000000,0.0191669576,0.0209945329,0.0119436327,0.0399246626,0.0000000000,0.0060570473,0.0000000000,0.0000000000,0.0326530226,0.0428041182,0.0079114474,0.0077436022,0.0307324212,0.0323048830,0.0225295424,0.0130756376,0.0771119148,0.0483629778,0.0179941356,0.0188921243,0.0131208664,0.0116065852,0.0109843854,0.0115512609,0.0000000000,0.0000000000,0.0330417529,0.0678591877,0.0678446963,0.0134422816,0.0206416473,0.0222691856,0.0354327969,0.0324170105,0.0000000239,0.0000000000,0.0000000000,0.0000000000,-0.0929067358,0.0775035322,-0.0072045531,-0.0207579713,0.0773264244,-0.0016082297
