Timecode,BlendshapeCount,EyeBlinkLeft,EyeLookDownLeft,EyeLookInLeft,EyeLookOutLeft,EyeLookUpLeft,EyeSquintLeft,EyeWideLeft,EyeBlinkRight,EyeLookDownRight,EyeLookInRight,EyeLookOutRight,EyeLookUpRight,EyeSquintRight,EyeWideRight,JawForward,JawRight,JawLeft,JawOpen,MouthClose,MouthFunnel,MouthPucker,MouthRight,MouthLeft,MouthSmileLeft,MouthSmileRight,MouthFrownLeft,MouthFrownRight,MouthDimpleLeft,MouthDimpleRight,MouthStretchLeft,MouthStretchRight,MouthRollLower,MouthRollUpper,MouthShrugLower,MouthShrugUpper,MouthPressLeft,MouthPressRight,MouthLowerDownLeft,MouthLowerDownRight,MouthUpperUpLeft,MouthUpperUpRight,BrowDownLeft,BrowDownRight,BrowInnerUp,BrowOuterUpLeft,BrowOuterUpRight,CheekPuff,CheekSquintLeft,CheekSquintRight,NoseSneerLeft,NoseSneerRight,TongueOut,HeadYaw,HeadPitch,HeadRoll,LeftEyeYaw,LeftEyePitch,LeftEyeRoll,RightEyeYaw,RightEyePitch,RightEyeRoll
02:46:03:32.185,61,0.0443746671,0.1282568127,0.0548712164,0.0000000000,0.0000000000,0.0314644314,0.0000000000,0.0443867743,0.1285557747,0.0615607016,0.0000000000,0.0000000000,0.0314714350,0.0000000000,0.0057670455,0.0143347895,0.0000000000,0.0134614250,0.0159749221,0.0078279637,0.0375941470,0.0216309782,0.0000000000,0.1303802282,0.1355365664,0.0000000000,0.0000000000,0.0149686327,0.0149966171,0.0306849200,0.0298330076,0.0212058928,0.0099486345,0.0964041278,0.0662925765,0.0305365995,0.0306997150,0.0158462655,0.0134077072,0.0186057463,0.0185768288,0.0000000000,0.0000000000,0.0348626114,0.0114225345,0.0116481492,0.0127521874,0.0373120159,0.0405427888,0.0483013466,0.0507766232,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0374893434,0.0785855949,-0.0029515021,0.0334160626,0.0783914998,0.0026244200
02:46:03:33.187,61,0.0462703481,0.1296706796,0.0558506660,0.0000000000,0.0000000000,0.0312296432,0.0000000000,0.0462828167,0.1299749762,0.0605965629,0.0000000000,0.0000000000,0.0312364772,0.0000000000,0.0057427790,0.0142732896,0.0000000000,0.0134093724,0.0159319192,0.0078445980,0.0376323722,0.0214037225,0.0000000000,0.1303565651,0.1354791373,0.0000000000,0.0000000000,0.0149623295,0.0150017189,0.0306027215,0.0297723692,0.0211789850,0.0099184467,0.0965720117,0.0664198771,0.0306791253,0.0308394060,0.0158350337,0.0134068849,0.0186976362,0.0186784621,0.0000000000,0.0000000000,0.0349998884,0.0117901536,0.0120146330,0.0127320504,0.0373086408,0.0405502133,0.0484419093,0.0509230606,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0368996784,0.0794513971,-0.0029372403,0.0340102203,0.0792572573,0.0027006874
02:46:03:34.188,61,0.0474678837,0.1304549873,0.0563797988,0.0000000000,0.0000000000,0.0310118403,0.0000000000,0.0474805087,0.1307622045,0.0600754060,0.0000000000,0.0000000000,0.0310185086,0.0000000000,0.0057151588,0.0141778570,0.0000000000,0.0133353174,0.0158543196,0.0078268666,0.0375984535,0.0212367121,0.0000000000,0.1302055568,0.1351645291,0.0000000000,0.0000000000,0.0149532966,0.0150003275,0.0304643121,0.0296585001,0.0211443566,0.0098911682,0.0967256054,0.0665536001,0.0308255665,0.0309831034,0.0157870427,0.0133695453,0.0187423509,0.0187290348,0.0000000000,0.0000000000,0.0350850113,0.0121576637,0.0123809157,0.0127097564,0.0372304171,0.0404715836,0.0484920926,0.0509708077,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0365809090,0.0799316838,-0.0029295550,0.0343311206,0.0797375068,0.0027427487
02:46:03:35.190,61,0.0484414473,0.1321548522,0.0573320836,0.0000000000,0.0000000000,0.0308121368,0.0000000000,0.0484541208,0.1324674487,0.0591155924,0.0000000000,0.0000000000,0.0308186691,0.0000000000,0.0056970161,0.0140924677,0.0000000000,0.0132768881,0.0157952402,0.0078219380,0.0375974327,0.0210831705,0.0000000000,0.1301741451,0.1350207478,0.0000000000,0.0000000000,0.0149533572,0.0150067229,0.0303627439,0.0295776166,0.0211343095,0.0098742982,0.0968555585,0.0666543990,0.0309560951,0.0311109908,0.0157649871,0.0133553892,0.0188049823,0.0187964533,0.0000000000,0.0000000000,0.0352712907,0.0126225734,0.0128437700,0.0126908775,0.0372054540,0.0404452905,0.0485681742,0.0510547198,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0359934494,0.0809723362,-0.0029202208,0.0349080749,0.0807781368,0.0028253768
02:46:03:36.192,61,0.0491606705,0.1326974332,0.0575701483,0.0000000000,0.0000000000,0.0306161195,0.0000000000,0.0491733290,0.1330113560,0.0588864274,0.0000000000,0.0000000000,0.0306225196,0.0000000000,0.0056885430,0.0140112443,0.0000000000,0.0132191088,0.0157299731,0.0078092166,0.0375614017,0.0209649112,0.0000000000,0.1302974075,0.1349943578,0.0000000000,0.0000000000,0.0149911223,0.0150501970,0.0302579440,0.0294892844,0.0211468264,0.0098746130,0.0970409513,0.0667850450,0.0311261509,0.0312819146,0.0157451481,0.0133428443,0.0188524537,0.0188479666,0.0000000000,0.0000000000,0.0354493186,0.0132341590,0.0134539623,0.0126933083,0.0371621586,0.0403974429,0.0486354642,0.0511264056,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0358529463,0.0813043937,-0.0029208076,0.0350520797,0.0811101943,0.0028487407
02:46:03:37.193,61,0.0495383963,0.1335041374,0.0582264811,0.0000000000,0.0000000000,0.0304257441,0.0000000000,0.0495509990,0.1338218600,0.0582386628,0.0000000000,0.0000000000,0.0304320250,0.0000000000,0.0056912596,0.0139454808,0.0000000000,0.0131797120,0.0156874061,0.0078074271,0.0375544839,0.0208196007,0.0000000000,0.1305540055,0.1351966560,0.0000000000,0.0000000000,0.0150338523,0.0151010621,0.0301951673,0.0294429585,0.0211906899,0.0098779835,0.0972992629,0.0669582039,0.0312933102,0.0314444266,0.0157460477,0.0133476863,0.0189280007,0.0189309549,0.0000000000,0.0000000000,0.0357092395,0.0139271636,0.0141474092,0.0126986010,0.0371958241,0.0404321030,0.0487574264,0.0512699373,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0354571231,0.0817986503,-0.0029062137,0.0354502723,0.0816044360,0.0028987224
02:46:03:38.195,61,0.0496314093,0.1338356882,0.0586293638,0.0000000000,0.0000000000,0.0302469116,0.0000000000,0.0496439375,0.1341557652,0.0578372031,0.0000000000,0.0000000000,0.0302530807,0.0000000000,0.0056973645,0.0138848107,0.0000000000,0.0131421024,0.0156493858,0.0078079831,0.0375389941,0.0207462516,0.0000000000,0.1309497356,0.1355022937,0.0000000000,0.0000000000,0.0150903631,0.0151597997,0.0301601812,0.0294174515,0.0212398116,0.0098813083,0.0976191238,0.0671725497,0.0314695053,0.0316182896,0.0157554932,0.0133569036,0.0190173499,0.0190223642,0.0000000000,0.0000000000,0.0360034108,0.0146422442,0.0148639157,0.0127132069,0.0372425616,0.0404767245,0.0489097349,0.0514431633,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0352121107,0.0820020363,-0.0028933485,0.0356949680,0.0818078071,0.0029260290
02:46:03:39.196,61,0.0495691523,0.1345578581,0.0588227361,0.0000000000,0.0000000000,0.0300422851,0.0000000000,0.0495813936,0.1348790973,0.0576308891,0.0000000000,0.0000000000,0.0300483461,0.0000000000,0.0056960094,0.0138748772,0.0000000000,0.0130910957,0.0155983800,0.0077976952,0.0374852903,0.0206459891,0.0000000000,0.1313174814,0.1358470768,0.0000000000,0.0000000000,0.0151273031,0.0152004473,0.0301139560,0.0293761883,0.0212612785,0.0098698493,0.0978723913,0.0673703179,0.0316111185,0.0317578614,0.0157497972,0.0133550204,0.0191091280,0.0191188641,0.0000000000,0.0000000000,0.0361485370,0.0151544986,0.0153802466,0.0127078043,0.0372665599,0.0405073911,0.0490842424,0.0516444631,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0350852273,0.0824438035,-0.0028985285,0.0358113982,0.0822495744,0.0029514928
02:46:03:40.198,61,0.0493708476,0.1351722926,0.0589476153,0.0000000000,0.0000000000,0.0298647657,0.0000000000,0.0493829325,0.1354942769,0.0574912280,0.0000000000,0.0000000000,0.0298707392,0.0000000000,0.0056977556,0.0138934171,0.0000000000,0.0130469808,0.0155647723,0.0078114546,0.0374840498,0.0205309018,0.0000000000,0.1317616403,0.1362969428,0.0000000000,0.0000000000,0.0151587101,0.0152353989,0.0301413648,0.0294050425,0.0212922990,0.0098425858,0.0983365849,0.0677127987,0.0317821987,0.0319305360,0.0157628544,0.0133692361,0.0192560647,0.0192688070,0.0000000000,0.0000000000,0.0362813808,0.0154466666,0.0156757291,0.0127181076,0.0373538956,0.0406089686,0.0493801124,0.0519635305,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0349991210,0.0828195885,-0.0029046566,0.0358863175,0.0826253891,0.0029712401
02:46:03:41.199,61,0.0491392426,0.1351059675,0.0587689020,0.0000000000,0.0000000000,0.0297332257,0.0000000000,0.0491512790,0.1354269236,0.0576325469,0.0000000000,0.0000000000,0.0297391210,0.0000000000,0.0057020527,0.0139351673,0.0000000000,0.0130108772,0.0155423582,0.0078282626,0.0374304727,0.0203654580,0.0000000000,0.1321258247,0.1367675215,0.0000000000,0.0000000000,0.0151802963,0.0152662499,0.0302061103,0.0294722989,0.0213205386,0.0098082693,0.0987716541,0.0680407658,0.0318993218,0.0320498273,0.0157853328,0.0133940764,0.0194097292,0.0194311775,0.0000000000,0.0000000000,0.0363818891,0.0155990021,0.0158302188,0.0127062369,0.0374552011,0.0407304801,0.0496832840,0.0522877909,0.0000000000,0.0000000000,0.0000000000,0.0000000000,-0.0350852683,0.0827786624,-0.0029103584,0.0357776359,0.0825845078,0.0029607732
