,AMP,LIN
31,0.9166666666666666,0.08333333333333333
3,0.8333333333333334,0.16666666666666666
24,0.75,0.25
12,0.75,0.25
33,0.6666666666666666,0.3333333333333333
18,0.6666666666666666,0.3333333333333333
29,0.6666666666666666,0.3333333333333333
8,0.6666666666666666,0.3333333333333333
9,0.6666666666666666,0.3333333333333333
15,0.6666666666666666,0.3333333333333333
7,0.5833333333333334,0.4166666666666667
14,0.5833333333333334,0.4166666666666667
28,0.5,0.5
25,0.5,0.5
22,0.5,0.5
21,0.5,0.5
0,0.5,0.5
5,0.5,0.5
17,0.4166666666666667,0.5833333333333334
19,0.4166666666666667,0.5833333333333334
20,0.4166666666666667,0.5833333333333334
13,0.4166666666666667,0.5833333333333334
11,0.4166666666666667,0.5833333333333334
23,0.4166666666666667,0.5833333333333334
10,0.4166666666666667,0.5833333333333334
16,0.4166666666666667,0.5833333333333334
26,0.4166666666666667,0.5833333333333334
32,0.4166666666666667,0.5833333333333334
4,0.4166666666666667,0.5833333333333334
30,0.4166666666666667,0.5833333333333334
2,0.3333333333333333,0.6666666666666666
1,0.3333333333333333,0.6666666666666666
27,0.3333333333333333,0.6666666666666666
6,0.25,0.75
