,AMP,LIN
0,0.8333333333333334,0.16666666666666666
1,0.5,0.5
2,0.3333333333333333,0.6666666666666666
3,0.8333333333333334,0.16666666666666666
4,0.16666666666666666,0.8333333333333334
5,0.3333333333333333,0.6666666666666666
6,0.3333333333333333,0.6666666666666666
7,0.8333333333333334,0.16666666666666666
8,0.6666666666666666,0.3333333333333333
9,0.6666666666666666,0.3333333333333333
10,0.5,0.5
11,0.16666666666666666,0.8333333333333334
12,0.8333333333333334,0.16666666666666666
13,0.3333333333333333,0.6666666666666666
14,0.3333333333333333,0.6666666666666666
15,0.5,0.5
16,0.3333333333333333,0.6666666666666666
17,0.3333333333333333,0.6666666666666666
18,0.6666666666666666,0.3333333333333333
19,0.6666666666666666,0.3333333333333333
20,0.5,0.5
21,0.3333333333333333,0.6666666666666666
22,0.3333333333333333,0.6666666666666666
23,0.6666666666666666,0.3333333333333333
24,0.8333333333333334,0.16666666666666666
25,0.6666666666666666,0.3333333333333333
26,0.6666666666666666,0.3333333333333333
27,0.16666666666666666,0.8333333333333334
28,0.3333333333333333,0.6666666666666666
29,0.8333333333333334,0.16666666666666666
30,0.8333333333333334,0.16666666666666666
31,1.0,
32,0.3333333333333333,0.6666666666666666
33,0.5,0.5
