,AMP,LIN
0,0.5,0.5
1,0.3333333333333333,0.6666666666666666
2,0.3333333333333333,0.6666666666666666
3,0.8333333333333334,0.16666666666666666
4,0.4166666666666667,0.5833333333333334
5,0.5,0.5
6,0.25,0.75
7,0.5833333333333334,0.4166666666666667
8,0.6666666666666666,0.3333333333333333
9,0.6666666666666666,0.3333333333333333
10,0.4166666666666667,0.5833333333333334
11,0.4166666666666667,0.5833333333333334
12,0.75,0.25
13,0.4166666666666667,0.5833333333333334
14,0.5833333333333334,0.4166666666666667
15,0.6666666666666666,0.3333333333333333
16,0.4166666666666667,0.5833333333333334
17,0.4166666666666667,0.5833333333333334
18,0.6666666666666666,0.3333333333333333
19,0.4166666666666667,0.5833333333333334
20,0.4166666666666667,0.5833333333333334
21,0.5,0.5
22,0.5,0.5
23,0.4166666666666667,0.5833333333333334
24,0.75,0.25
25,0.5,0.5
26,0.4166666666666667,0.5833333333333334
27,0.3333333333333333,0.6666666666666666
28,0.5,0.5
29,0.6666666666666666,0.3333333333333333
30,0.4166666666666667,0.5833333333333334
31,0.9166666666666666,0.08333333333333333
32,0.4166666666666667,0.5833333333333334
33,0.6666666666666666,0.3333333333333333
